date,value
1700,17.88324485
1701,12.1523549
1702,23.04159987
1703,18.03206513
1704,27.48241032
1705,71.63731841
1706,41.96573557
1707,46.14456354
1708,0.416264097
1709,-4.291095901
1710,2.727331985
1711,-15.25985944
1712,-10.06645268
1713,20.93982962
1714,13.38518962
1715,18.93333233
1716,33.60343801
1717,56.51881938
1718,60.31265743
1719,53.22465965
1720,16.64758332
1721,20.74449118
1722,17.03387547
1723,12.19185926
1724,12.5948247
1725,32.42959474
1726,90.82683488
1727,135.5144258
1728,104.8451868
1729,76.83692773
1730,32.74401708
1731,18.2307434
1732,16.22147518
1733,-0.367114015
1734,18.89351197
1735,54.46517269
1736,73.90645635
1737,61.63266006
1738,116.7433
1739,100.697249
1740,82.21335057
1741,37.35740448
1742,15.83203329
1743,21.3304123
1744,-10.91243444
1745,14.45702994
1746,36.22723444
1747,44.12004688
1748,54.64892287
1749,103.3194391
1750,74.41980611
1751,42.70014539
1752,52.98672634
1753,26.65214383
1754,-0.401477331
1755,37.02449049
1756,9.126893753
1757,44.67413779
1758,48.98422872
1759,27.15221047
1760,56.57562097
1761,75.73984128
1762,79.03350418
1763,54.52560724
1764,30.18375255
1765,26.30201935
1766,-3.261592624
1767,36.1802147
1768,61.43493815
1769,92.2080857
1770,104.2750971
1771,75.88077791
1772,72.26544602
1773,30.0874812
1774,22.39315177
1775,-6.273555277
1776,32.12383388
1777,97.30651187
1778,166.1065333
1779,132.6381296
1780,95.08216124
1781,58.62352503
1782,33.80351045
1783,16.54115253
1784,8.671709664
1785,25.22825884
1786,74.29788847
1787,117.1435268
1788,143.6197096
1789,113.659981
1790,111.7275152
1791,68.06298838
1792,60.12903674
1793,40.49648673
1794,31.28022395
1795,21.87455021
1796,20.24500949
1797,27.06779537
1798,0.992246782
1799,14.8053759
1800,1.167307945
1801,34.19789009
1802,52.66110752
1803,49.21512398
1804,59.30303097
1805,45.95292162
1806,42.63532475
1807,-1.276250962
1808,22.50586352
1809,16.51779197
1810,1.770260417
1811,-4.389817606
1812,4.277682829
1813,7.34283557
1814,18.42380678
1815,36.83201289
1816,42.99822325
1817,45.70603279
1818,42.68589946
1819,25.03909758
1820,16.08812203
1821,17.43734659
1822,18.39069268
1823,-5.144039732
1824,-20.23042737
1825,16.17460184
1826,46.13229521
1827,21.18722096
1828,64.62133284
1829,85.70334489
1830,67.08803121
1831,62.69881315
1832,21.98995236
1833,-6.403313574
1834,-1.878927816
1835,58.72523041
1836,129.7386185
1837,145.6123783
1838,103.6988332
1839,70.89653778
1840,60.92211716
1841,28.02935002
1842,19.99598129
1843,12.80656804
1844,12.20861004
1845,36.58004885
1846,36.37786324
1847,97.63887319
1848,130.8539622
1849,114.3434261
1850,59.78460461
1851,71.24286753
1852,69.3352418
1853,39.22035585
1854,37.18833006
1855,9.168934549
1856,-5.590730651
1857,17.12493437
1858,41.96735575
1859,99.79516067
1860,101.4485704
1861,51.59949272
1862,29.77270859
1863,57.5751087
1864,32.73770059
1865,39.7537225
1866,-3.097130084
1867,-2.108782292
1868,47.33531905
1869,99.46940936
1870,155.3308418
1871,101.8437895
1872,105.3256105
1873,64.42934039
1874,60.65936766
1875,3.719101473
1876,21.08656034
1877,38.81274244
1878,16.87124499
1879,-1.855192927
1880,33.48355023
1881,52.59218685
1882,62.04898824
1883,76.87267343
1884,75.44890432
1885,46.46252567
1886,28.22900065
1887,22.37827585
1888,6.405178828
1889,0.207267054
1890,16.73592851
1891,33.51921047
1892,67.10885122
1893,76.26855439
1894,82.34998474
1895,48.60653857
1896,43.41587606
1897,30.62404027
1898,19.57473907
1899,1.949776882
1900,30.52457583
1901,4.5621026
1902,6.196737908
1903,37.2907609
1904,59.66046473
1905,74.65485644
1906,53.7029321
1907,62.73293506
1908,44.45832256
1909,16.17599138
1910,3.132335152
1911,-10.86762345
1912,17.25678488
1913,3.8722044
1914,12.10052971
1915,43.1689599
1916,69.35769138
1917,105.2377013
1918,75.91514405
1919,65.77901586
1920,41.72699497
1921,38.54582159
1922,22.47880354
1923,12.71092391
1924,8.25997811
1925,42.91632533
1926,70.43352835
1927,76.72291637
1928,78.3731174
1929,78.27598832
1930,43.94952828
1931,39.1475682
1932,12.01862882
1933,-7.452777945
1934,-1.964482583
1935,33.73732788
1936,84.15974979
1937,127.4031405
1938,88.20647724
1939,84.74877091
1940,68.99510091
1941,37.33384985
1942,22.77740127
1943,32.28829389
1944,6.146873397
1945,43.01144063
1946,86.84329458
1947,162.4113273
1948,146.2129701
1949,141.751988
1950,89.1341065
1951,66.04831114
1952,30.25080641
1953,13.64533147
1954,12.96374262
1955,13.92370822
1956,140.2033892
1957,195.219122
1958,193.8394484
1959,160.216826
1960,112.9502759
1961,53.26991856
1962,44.56204522
1963,28.18333851
1964,18.28503403
1965,9.56627968
1966,19.57809095
1967,109.731311
1968,109.8768991
1969,101.3302328
1970,97.74499667
1971,71.92396327
1972,72.39940374
1973,37.68682005
1974,38.23397427
1975,5.801607268
1976,-6.736808881
1977,20.22457114
1978,100.2470458
1979,162.7087925
1980,167.1759662
1981,140.8087375
1982,121.0900662
1983,71.03578559
1984,54.5253514
1985,29.03850404
1986,17.06076564
1987,9.292827372
