date,value
1980/1/4,2.24
1980/1/11,2.26
1980/1/18,2.29
1980/1/25,2.26
1980/2/1,2.27
1980/2/8,2.3
1980/2/19,2.27
1980/2/26,2.28
1980/3/4,2.24
1980/3/11,2.23
1980/3/18,2.19
1980/3/25,2.19
1980/4/1,2.15
1980/4/8,2.18
1980/4/15,2.19
1980/4/22,2.23
1980/4/29,2.27
1980/5/6,2.28
1980/5/13,2.28
1980/5/20,2.29
1980/5/28,2.36
1980/6/4,2.32
1980/6/11,2.33
1980/6/18,2.33
1980/6/25,2.34
1980/7/2,2.36
1980/7/10,2.38
1980/7/17,2.38
1980/7/24,2.4
1980/7/31,2.34
1980/8/7,2.37
1980/8/14,2.38
1980/8/21,2.37
1980/8/28,2.39
1980/9/5,2.41
1980/9/12,2.41
1980/9/19,2.39
1980/9/26,2.39
1980/10/3,2.39
1980/10/10,2.4
1980/10/20,2.43
1980/10/27,2.44
1980/11/3,2.44
1980/11/12,2.41
1980/11/19,2.38
1980/11/26,2.37
1980/12/4,2.34
1980/12/11,2.31
1980/12/18,2.32
1980/12/26,2.38
1981/1/5,2.42
1981/1/12,2.4
1981/1/19,2.41
1981/1/26,2.42
1981/2/2,2.35
1981/2/9,2.34
1981/2/18,2.27
1981/2/25,2.23
1981/3/4,2.2
1981/3/11,2.22
1981/3/18,2.28
1981/3/25,2.26
1981/4/1,2.25
1981/4/8,2.2
1981/4/15,2.15
1981/4/22,2.19
1981/4/29,2.14
1981/5/6,2.12
1981/5/13,2.08
1981/5/20,2.08
1981/5/28,2.07
1981/6/4,1.94
1981/6/11,1.95
1981/6/18,1.98
1981/6/25,1.95
1981/7/2,1.88
1981/7/9,1.88
1981/7/16,1.88
1981/7/23,1.85
1981/7/30,1.86
1981/8/6,1.8
1981/8/13,1.8
1981/8/20,1.86
1981/8/27,1.84
1981/9/3,1.84
1981/9/11,1.78
1981/9/18,1.83
1981/9/25,1.79
1981/10/2,1.82
1981/10/9,1.9
1981/10/19,1.84
1981/10/26,1.81
1981/11/2,1.87
1981/11/10,1.87
1981/11/18,1.91
1981/11/25,1.93
1981/12/3,1.93
1981/12/10,1.89
1981/12/17,1.89
1981/12/24,1.89
1982/1/4,1.93
1982/1/11,1.89
1982/1/18,1.88
1982/1/25,1.85
1982/2/1,1.86
1982/2/8,1.86
1982/2/17,1.84
1982/2/24,1.83
1982/3/3,1.82
1982/3/10,1.81
1982/3/17,1.81
1982/3/24,1.8
1982/3/31,1.78
1982/4/7,1.76
1982/4/14,1.76
1982/4/21,1.78
1982/4/28,1.79
1982/5/5,1.81
1982/5/12,1.84
