date,value
1973/1,9007
1973/2,8106
1973/3,8928
1973/4,9137
1973/5,10017
1973/6,10826
1973/7,11317
1973/8,10744
1973/9,9713
1973/10,9938
1973/11,9161
1973/12,8927
1974/1,7750
1974/2,6981
1974/3,8038
1974/4,8422
1974/5,8714
1974/6,9512
1974/7,10120
1974/8,9823
1974/9,8743
1974/10,9129
1974/11,8710
1974/12,8680
1975/1,8162
1975/2,7306
1975/3,8124
1975/4,7870
1975/5,9387
1975/6,9556
1975/7,10093
1975/8,9620
1975/9,8285
1975/10,8433
1975/11,8160
1975/12,8034
1976/1,7717
1976/2,7461
1976/3,7776
1976/4,7925
1976/5,8634
1976/6,8945
1976/7,10078
1976/8,9179
1976/9,8037
1976/10,8488
1976/11,7874
1976/12,8647
1977/1,7792
1977/2,6957
1977/3,7726
1977/4,8106
1977/5,8890
1977/6,9299
1977/7,10625
1977/8,9302
1977/9,8314
1977/10,8850
1977/11,8265
1977/12,8796
1978/1,7836
1978/2,6892
1978/3,7791
1978/4,8129
1978/5,9115
1978/6,9434
1978/7,10484
1978/8,9827
1978/9,9110
1978/10,9070
1978/11,8633
1978/12,9240
