date,value
-50,279.8767766
-49.9,279.5269772
-49.8,279.1508318
-49.7,278.7410303
-49.6,278.2906208
-49.5,277.7930796
-49.4,277.242376
-49.3,276.6330328
-49.2,275.9601806
-49.1,275.2196072
-49,274.407799
-48.9,273.5219763
-48.8,272.5601214
-48.7,271.5209982
-48.6,270.4041649
-48.5,269.2099786
-48.4,267.9395912
-48.3,266.5949384
-48.2,265.1787199
-48.1,263.6943729
-48,262.1460373
-47.9,260.5385148
-47.8,258.8772205
-47.7,257.168129
-47.6,255.4177147
-47.5,253.6328872
-47.4,251.820922
-47.3,249.9893879
-47.2,248.1460717
-47.1,246.2988997
-47,244.4558595
-46.9,242.624919
-46.8,240.8139479
-46.7,239.0306383
-46.6,237.2824283
-46.5,235.5764273
-46.4,233.9193454
-46.3,232.3174258
-46.2,230.7763831
-46.1,229.3013456
-46,227.8968043
-45.9,226.5665683
-45.8,225.3137261
-45.7,224.1406154
-45.6,223.0487993
-45.5,222.0390508
-45.4,221.1113453
-45.3,220.2648604
-45.2,219.4979847
-45.1,218.8083332
-45,218.1927718
-44.9,217.6474482
-44.8,217.1678305
-44.7,216.7487526
-44.6,216.3844656
-44.5,216.0686952
-44.4,215.794705
-44.3,215.5553629
-44.2,215.343213
-44.1,215.1505499
-44,214.9694957
-43.9,214.7920787
-43.8,214.6103131
-43.7,214.4162786
-43.6,214.2021999
-43.5,213.9605241
-43.4,213.6839962
-43.3,213.3657316
-43.2,212.9992851
-43.1,212.5787149
-43,212.0986424
-42.9,211.5543055
-42.8,210.9416067
-42.7,210.2571535
-42.6,209.4982926
-42.5,208.6631365
-42.4,207.750582
-42.3,206.7603218
-42.2,205.6928467
-42.1,204.5494417
-42,203.3321724
-41.9,202.0438646
-41.8,200.6880764
-41.7,199.2690619
-41.6,197.7917295
-41.5,196.2615923
-41.4,194.6847134
-41.3,193.067645
-41.2,191.4173629
-41.1,189.7411974
-41,188.0467591
-40.9,186.3418639
-40.8,184.6344539
-40.7,182.932519
-40.6,181.2440161
-40.5,179.5767906
-40.4,177.9384971
-40.3,176.3365235
-40.2,174.7779171
-40.1,173.2693138
-40,171.8168725
-39.9,170.4262128
-39.8,169.1023593
-39.7,167.8496914
-39.6,166.6718993
-39.5,165.5719475
-39.4,164.5520446
-39.3,163.6136218
-39.2,162.7573184
-39.1,161.9829754
-39,161.2896369
-38.9,160.6755601
-38.8,160.1382321
-38.7,159.6743958
-38.6,159.2800816
-38.5,158.9506477
-38.4,158.6808261
-38.3,158.4647756
-38.2,158.2961395
-38.1,158.1681101
-38,158.0734958
-37.9,158.0047935
-37.8,157.9542632
-37.7,157.9140059
-37.6,157.8760417
-37.5,157.8323904
-37.4,157.7751506
-37.3,157.6965789
-37.2,157.5891673
-37.1,157.4457182
-37,157.2594162
-36.9,157.0238962
-36.8,156.7333072
-36.7,156.3823707
-36.6,155.9664332
-36.5,155.4815129
-36.4,154.9243396
-36.3,154.2923871
-36.2,153.5838986
-36.1,152.7979043
-36,151.9342308
-35.9,150.9935034
-35.8,149.9771392
-35.7,148.8873334
-35.6,147.727037
-35.5,146.4999279
-35.4,145.2103734
-35.3,143.8633871
-35.2,142.4645787
-35.1,141.0200978
-35,139.5365725
-34.9,138.0210433
-34.8,136.4808928
-34.7,134.9237715
-34.6,133.3575221
-34.5,131.7901002
-34.4,130.2294957
-34.3,128.6836524
-34.2,127.160389
-34.1,125.6673207
-34,124.211783
-33.9,122.8007588
-33.8,121.4408086
-33.7,120.1380045
-33.6,118.89787
-33.5,117.7253244
-33.4,116.6246343
-33.3,115.5993701
-33.2,114.652371
-33.1,113.7857164
-33,113.0007051
-32.9,112.2978423
-32.8,111.6768348
-32.7,111.1365933
-32.6,110.6752443
-32.5,110.2901477
-32.4,109.9779241
-32.3,109.734488
-32.2,109.5550888
-32.1,109.4343583
-32,109.3663643
-31.9,109.34467
-31.8,109.3623979
-31.7,109.4122991
-31.6,109.4868253
-31.5,109.5782044
-31.4,109.678518
-31.3,109.7797809
-31.2,109.8740203
-31.1,109.9533561
-31,110.0100789
-30.9,110.036728
-30.8,110.0261648
-30.7,109.9716452
-30.6,109.8668861
-30.5,109.706129
-30.4,109.4841968
-30.3,109.1965459
-30.2,108.8393117
-30.1,108.4093468
-30,107.904253
-29.9,107.3224047
-29.8,106.6629656
-29.7,105.9258967
-29.6,105.111957
-29.5,104.2226957
-29.4,103.2604369
-29.3,102.228256
-29.2,101.1299496
-29.1,99.96999694
-29,98.75351552
-28.9,97.48620983
-28.8,96.17431441
-28.7,94.82453151
-28.6,93.44396414
-28.5,92.04004512
-28.4,90.62046279
-28.3,89.19308418
-28.2,87.76587644
-28.1,86.3468272
-28,84.9438648
-27.9,83.56477904
-27.8,82.21714333
-27.7,80.90823909
-27.6,79.64498292
-27.5,78.43385752
-27.4,77.28084696
-27.3,76.1913768
-27.2,75.17025995
-27.1,74.22164858
-27,73.34899257
-26.9,72.55500513
-26.8,71.84163561
-26.7,71.21005006
-26.6,70.66061959
-26.5,70.19291663
-26.4,69.80571924
-26.3,69.49702329
-26.2,69.26406247
-26.1,69.10333599
-26,69.01064351
-25.9,68.9811271
-25.8,69.00931982
-25.7,69.08920033
-25.6,69.21425302
-25.5,69.37753317
-25.4,69.57173627
-25.3,69.78927108
-25.2,70.02233542
-25.1,70.26299415
-25,70.50325845
-24.9,70.73516565
-24.8,70.95085879
-24.7,71.14266511
-24.6,71.30317272
-24.5,71.42530468
-24.4,71.50238967
-24.3,71.52822868
-24.2,71.49715692
-24.1,71.40410047
-24,71.2446269
-23.9,71.01498963
-23.8,70.71216534
-23.7,70.33388417
-23.6,69.87865238
-23.5,69.34576733
-23.4,68.73532446
-23.3,68.04821634
-23.2,67.28612377
-23.1,66.45149894
-23,65.54754101
-22.9,64.57816407
-22.8,63.54795805
-22.7,62.46214289
-22.6,61.32651635
-22.5,60.1473961
-22.4,58.93155658
-22.3,57.68616131
-22.2,56.41869136
-22.1,55.13687054
-22,53.84858825
-21.9,52.56182067
-21.8,51.28455104
-21.7,50.0246899
-21.6,48.78999607
-21.5,47.58799909
-21.4,46.42592402
-21.3,45.31061923
-21.2,44.24848799
-21.1,43.24542448
-21,42.30675489
-20.9,41.43718421
-20.8,40.64074924
-20.7,39.9207782
-20.6,39.27985755
-20.5,38.71980609
-20.4,38.2416568
-20.3,37.84564653
-20.2,37.53121364
-20.1,37.29700357
-20,37.14088244
-19.9,37.05995831
-19.8,37.0506101
-19.7,37.10852379
-19.6,37.22873548
-19.5,37.40568104
-19.4,37.63325166
-19.3,37.90485489
-19.2,38.21348057
-19.1,38.55177078
-19,38.91209343
-18.9,39.2866185
-18.8,39.66739624
-18.7,40.04643665
-18.6,40.41578929
-18.5,40.76762273
-18.4,41.09430275
-18.3,41.38846872
-18.2,41.64310702
-18.1,41.85162124
-18,42.00789797
-17.9,42.106368
-17.8,42.14206188
-17.7,42.1106596
-17.6,42.00853376
-17.5,41.83278582
-17.4,41.58127504
-17.3,41.25263989
-17.2,40.84631164
-17.1,40.36252004
-17,39.80229105
-16.9,39.16743655
-16.8,38.46053627
-16.7,37.684912
-16.6,36.84459441
-16.5,35.94428274
-16.4,34.9892979
-16.3,33.98552928
-16.2,32.93937589
-16.1,31.85768245
-16,30.74767098
-15.9,29.61686865
-15.8,28.47303258
-15.7,27.32407231
-15.6,26.17797078
-15.5,25.04270459
-15.4,23.92616426
-15.3,22.83607541
-15.2,21.7799216
-15.1,20.76486949
-15,19.79769728
-14.9,18.88472698
-14.8,18.03176124
-14.7,17.24402535
-14.6,16.52611507
-14.5,15.88195067
-14.4,15.31473779
-14.3,14.8269354
-14.2,14.42023122
-14.1,14.09552489
-14,13.85291893
-13.9,13.69171777
-13.8,13.61043464
-13.7,13.60680651
-13.6,13.67781659
-13.5,13.81972459
-13.4,14.02810399
-13.3,14.29788635
-13.2,14.62341188
-13.1,14.99848606
-13,15.41644148
-12.9,15.87020449
-12.8,16.35236584
