date,value
-50,279.1449164
-49.9,284.2316045
-49.8,272.5017625
-49.7,278.0692115
-49.6,277.0358149
-49.5,278.0463174
-49.4,275.8592265
-49.3,267.0891198
-49.2,274.0584112
-49.1,269.9461713
-49,276.953156
-48.9,275.2722465
-48.8,270.5745036
-48.7,275.0392094
-48.6,276.969693
-48.5,274.2554494
-48.4,265.711988
-48.3,267.2375014
-48.2,259.1833365
-48.1,259.8633978
-48,261.9763249
-47.9,257.8525921
-47.8,261.2264453
-47.7,259.883745
-47.6,256.7937688
-47.5,253.6126887
-47.4,251.9198514
-47.3,250.8786414
-47.2,248.6253767
-47.1,237.6343603
-47,254.3784922
-46.9,243.7438277
-46.8,242.5902714
-46.7,244.7841434
-46.6,241.1967571
-46.5,237.0477434
-46.4,229.2236438
-46.3,223.439807
-46.2,229.0550956
-46.1,229.6990798
-46,226.816722
-45.9,226.8644529
-45.8,227.0866264
-45.7,233.4485456
-45.6,218.7224453
-45.5,225.116217
-45.4,221.3660083
-45.3,213.2610817
-45.2,218.6363381
-45.1,223.8938869
-45,219.1591843
-44.9,212.5284302
-44.8,218.2098544
-44.7,216.7987704
-44.6,217.2159327
-44.5,219.0627227
-44.4,212.0031118
-44.3,219.8136327
-44.2,214.5402909
-44.1,215.9793576
-44,224.1120502
-43.9,215.7543112
-43.8,212.6143292
-43.7,211.8793223
-43.6,211.3951706
-43.5,216.1797979
-43.4,214.4030156
-43.3,211.7003465
-43.2,208.4992286
-43.1,209.8544339
-43,210.718486
-42.9,215.8119292
-42.8,207.4151247
-42.7,209.760681
-42.6,204.9463756
-42.5,211.3910819
-42.4,208.9682922
-42.3,202.3419859
-42.2,207.9557885
-42.1,204.4507712
-42,196.8228176
-41.9,201.1001261
-41.8,199.8318164
-41.7,199.5078355
-41.6,198.9947944
-41.5,194.2275797
-41.4,187.069455
-41.3,198.5846113
-41.2,187.0815528
-41.1,189.6716212
-41,179.1326428
-40.9,190.4347529
-40.8,184.0981037
-40.7,185.0365591
-40.6,185.2446356
-40.5,178.2733623
-40.4,179.1691935
-40.3,173.2524634
-40.2,171.1711889
-40.1,162.4569362
-40,173.7292731
-39.9,171.2274272
-39.8,174.5293448
-39.7,171.3908238
-39.6,166.4440754
-39.5,171.3188455
-39.4,164.3752028
-39.3,160.4244299
-39.2,161.3343273
-39.1,158.7852859
-39,161.5941433
-38.9,155.9565274
-38.8,153.4985462
-38.7,155.7374028
-38.6,162.7771633
-38.5,156.2837175
-38.4,162.9440571
-38.3,159.9656605
-38.2,153.7885721
-38.1,153.877044
-38,158.2230469
-37.9,156.7596603
-37.8,157.0628041
-37.7,149.9139377
-37.6,155.0106949
-37.5,159.1915325
-37.4,152.3809629
-37.3,161.3241561
-37.2,158.1667225
-37.1,164.910136
-37,157.8467773
-36.9,159.6979761
-36.8,160.5924326
-36.7,160.7419473
-36.6,155.3182178
-36.5,146.8752096
-36.4,155.6770381
-36.3,148.7080457
-36.2,151.4301638
-36.1,150.4226237
-36,157.1377873
-35.9,155.019521
-35.8,151.4646432
-35.7,147.1800868
-35.6,150.8510592
-35.5,147.0964902
-35.4,145.3456648
-35.3,146.8409532
-35.2,140.9100647
-35.1,141.2120242
-35,140.9153295
-34.9,132.5738925
-34.8,138.789056
-34.7,132.1191438
-34.6,136.2108514
-34.5,134.738549
-34.4,130.2148571
-34.3,123.0994436
-34.2,126.0897268
-34.1,119.4907841
-34,131.2616136
-33.9,120.7470062
-33.8,118.3554612
-33.7,121.6941937
-33.6,116.4986577
-33.5,117.867624
-33.4,118.0982536
-33.3,115.4213099
-33.2,113.5899746
-33.1,115.1991906
-33,115.1556834
-32.9,112.5880901
-32.8,114.1995307
-32.7,106.3813761
-32.6,104.1212992
-32.5,112.6036916
-32.4,116.0075449
-32.3,109.5182446
-32.2,106.9014986
-32.1,105.766849
-32,110.3067937
-31.9,108.6320592
-31.8,113.7254564
-31.7,107.1567851
-31.6,106.4722405
-31.5,110.441432
-31.4,108.3818815
-31.3,108.1319047
-31.2,110.3524076
-31.1,113.9183086
-31,116.763042
-30.9,109.2148624
-30.8,105.6705152
-30.7,104.704397
-30.6,104.6202463
-30.5,113.8904641
-30.4,103.2696178
-30.3,108.6687551
-30.2,111.5778477
-30.1,108.4429755
-30,106.5789674
-29.9,108.3123755
-29.8,111.8200268
-29.7,106.0923574
-29.6,104.3047838
-29.5,100.0956392
-29.4,106.9883715
-29.3,101.1257313
-29.2,102.3578795
-29.1,97.11230016
-29,90.98917721
-28.9,101.6014556
-28.8,102.7021958
-28.7,97.04701099
-28.6,98.86903265
-28.5,99.60604564
-28.4,84.50239891
-28.3,89.05020633
-28.2,88.90139749
-28.1,87.83295144
-28,89.71268325
-27.9,86.87996754
-27.8,88.04569656
-27.7,79.35954974
-27.6,82.08154629
-27.5,77.5367037
-27.4,73.02024083
-27.3,88.42502345
-27.2,75.62041371
-27.1,70.40797118
-27,74.85356761
-26.9,74.85399765
-26.8,79.3022963
-26.7,71.105673
-26.6,69.75085877
-26.5,72.04316738
-26.4,69.00176811
-26.3,69.17735277
-26.2,76.04116586
-26.1,67.95747333
-26,65.83286323
-25.9,70.85001973
-25.8,63.39324731
-25.7,68.73693446
-25.6,68.51219022
-25.5,70.0800962
-25.4,69.13448208
-25.3,72.76477269
-25.2,69.98460963
-25.1,66.84895451
-25,68.74930378
-24.9,64.17516769
-24.8,69.40723557
-24.7,72.37853558
-24.6,69.21462819
-24.5,65.83598468
-24.4,70.91324945
-24.3,68.38526467
-24.2,66.73439764
-24.1,71.23491285
-24,63.97479653
-23.9,70.06088347
-23.8,66.01486794
-23.7,77.33809024
-23.6,68.92140668
-23.5,76.58591238
-23.4,64.09522931
-23.3,68.91141642
-23.2,69.41441917
-23.1,65.7433316
-23,56.97087901
-22.9,62.97534463
-22.8,64.48758505
-22.7,60.27528077
-22.6,63.37134438
-22.5,65.14450987
-22.4,54.08030934
-22.3,57.47116863
-22.2,56.54760477
-22.1,51.76614277
-22,55.08119795
-21.9,47.52785957
-21.8,44.47143548
-21.7,50.84277728
